0.026, 6.96, 5.67, 5.30, 1.68, -0.56, 0.37, -3.63, -6.86, 5.89, -0.22, -1.47, -0.63, -3.93, 5.44, 6.83, -0.42, -0.71, 1.39
0.060, 7.19, 5.97, 4.62, 1.37, -0.54, 0.36, -3.22, -7.01, 6.27, -0.21, -1.17, -0.61, -3.57, 5.85, 7.05, -0.41, -0.68, 1.12
0.093, 7.01, 5.43, 5.14, 1.27, -0.62, 0.38, -3.39, -6.90, 5.60, -0.22, -1.05, -0.71, -4.27, 4.98, 6.85, -0.41, -0.80, 0.89
0.127, 7.21, 4.86, 4.57, 0.42, -0.88, 0.22, -2.69, -7.27, 5.00, -0.04, -0.14, -0.98, -3.17, 4.58, 7.04, -0.16, -1.05, 0.02
0.162, 7.27, 5.53, 4.10, 0.59, -1.01, 0.03, -2.54, -7.17, 5.93, 0.13, -0.38, -1.09, -2.36, 5.80, 7.21, -0.04, -1.16, 0.39
0.195, 7.84, 5.86, 2.83, 1.05, -0.94, 0.06, -1.89, -7.72, 6.53, 0.08, -0.93, -0.99, -1.31, 6.12, 7.92, -0.12, -1.04, 1.04
0.229, 7.99, 6.34, 2.78, 1.80, -0.81, 0.07, -1.54, -7.75, 6.85, 0.07, -1.64, -0.87, -1.93, 6.37, 7.81, -0.15, -0.96, 1.59
0.264, 7.62, 5.57, 3.29, 1.38, -0.95, 0.12, -1.24, -7.63, 5.34, 0.04, -1.09, -1.03, -2.01, 4.52, 7.65, -0.13, -1.13, 0.92
0.297, 8.11, 4.19, 2.41, 1.13, -1.09, -0.11, -1.16, -8.23, 4.82, 0.30, -0.98, -1.17, -1.20, 4.07, 8.19, 0.14, -1.26, 0.99
0.331, 7.89, 3.83, 2.18, 1.53, -1.19, -0.44, -0.65, -7.95, 4.22, 0.63, -1.35, -1.26, -0.86, 3.55, 7.79, 0.47, -1.37, 1.31
0.365, 7.95, 4.09, 0.59, 1.25, -1.23, -0.81, 1.05, -7.95, 4.60, 1.00, -1.03, -1.28, 0.98, 4.23, 7.95, 0.85, -1.35, 1.00
0.399, 7.51, 6.55, -0.83, 1.55, -1.00, -0.92, 2.10, -7.18, 7.18, 1.05, -1.38, -1.03, 2.15, 6.80, 7.46, 0.84, -1.10, 1.39
0.433, 7.18, 7.72, -1.49, 1.45, -0.76, -0.72, 2.96, -6.81, 8.14, 0.83, -1.24, -0.79, 2.89, 7.60, 7.28, 0.62, -0.85, 1.21
0.467, 7.35, 7.28, -1.46, 1.38, -0.47, -0.50, 2.85, -7.05, 7.63, 0.63, -1.16, -0.52, 2.55, 7.05, 7.36, 0.44, -0.57, 1.14
0.501, 6.87, 6.14, -0.04, 1.32, -0.38, -0.41, 1.57, -6.80, 6.32, 0.55, -1.09, -0.46, 1.08, 5.64, 6.96, 0.38, -0.55, 1.05
0.535, 6.68, 5.67, -0.05, 1.26, -0.56, -0.52, 1.50, -6.68, 6.26, 0.67, -1.07, -0.65, 1.36, 5.86, 6.82, 0.50, -0.75, 1.07
0.569, 6.56, 7.98, -1.24, 1.39, -0.75, -0.47, 2.88, -6.30, 8.45, 0.59, -1.17, -0.82, 2.58, 8.01, 6.63, 0.38, -0.91, 1.10
0.603, 6.59, 8.36, -2.38, 0.82, -0.75, -0.14, 4.30, -6.16, 8.34, 0.26, -0.54, -0.81, 3.64, 7.78, 6.68, 0.07, -0.87, 0.39
0.637, 6.26, 6.92, -0.90, 0.61, -0.74, 0.09, 1.93, -6.48, 7.40, 0.06, -0.43, -0.83, 1.57, 6.79, 7.00, -0.12, -0.92, 0.43
0.672, 6.17, 6.34, -0.34, 1.12, -1.10, 0.13, 1.57, -6.12, 6.96, 0.03, -0.98, -1.21, 1.48, 6.37, 6.28, -0.17, -1.33, 0.97
0.705, 5.31, 6.74, -1.74, 1.16, -1.51, 0.16, 3.42, -5.27, 7.11, -0.01, -0.96, -1.60, 3.34, 6.52, 5.65, -0.22, -1.71, 0.88
0.739, 5.47, 5.79, -3.03, 1.08, -1.66, 0.24, 4.14, -5.28, 6.37, -0.08, -0.95, -1.72, 4.11, 5.68, 5.61, -0.30, -1.81, 0.89
0.774, 5.74, 5.20, -3.29, 1.21, -1.75, 0.25, 4.89, -5.63, 5.66, -0.07, -1.01, -1.83, 4.55, 5.06, 5.86, -0.27, -1.93, 0.89
0.808, 4.97, 6.82, -4.56, 0.75, -1.87, 0.27, 6.15, -4.57, 7.27, -0.11, -0.54, -1.94, 6.06, 6.86, 4.87, -0.33, -2.01, 0.43
0.841, 4.44, 7.29, -6.65, 0.22, -1.81, 0.50, 8.69, -4.10, 7.35, -0.35, 0.07, -1.86, 8.45, 6.76, 4.63, -0.54, -1.90, -0.25
0.876, 4.53, 7.14, -8.16, -0.84, -1.45, 0.70, 9.86, -4.13, 7.24, -0.55, 1.15, -1.49, 9.53, 6.73, 4.60, -0.69, -1.47, -1.31
0.910, 4.13, 6.28, -7.59, -1.40, -1.08, 0.87, 9.01, -3.90, 6.33, -0.70, 1.69, -1.15, 8.65, 5.66, 4.25, -0.82, -1.14, -1.80
